Club,Location,Stadium,Finishing position last season,First season in top division,First season of current spell in top
Alavés,Vitoria-Gasteiz,Mendizorrotza,4th in Segunda División,1930–31,2023–24
Almería,Almería,Juegos Mediterráneos,17th,2007–08,2022–23
Athletic Bilbao,Bilbao,San Mamés,8th,1929,1929
Atlético Madrid,Madrid,Metropolitano,3rd,1929,2002–03
Barcelona,Barcelona,Camp Nou,1st,1929,1929
Cádiz,Cádiz,Ramón de Carranza,14th,1977–78,2020–21
Celta Vigo,Vigo,Balaídos,13th,1939–40,2012–13
Getafe,Getafe,Coliseum Alfonso Pérez,15th,2004–05,2017–18
Girona,Girona,Montilivi,10th,2017–18,2022–23
Granada,Granada,Nuevo Los Cármenes,1st in Segunda División,1941–42,2023–24
Las Palmas,Las Palmas,Gran Canaria,2nd in Segunda División,1951–52,2023–24
Mallorca,Palma,Son Moix,9th,1960–61,2021–22
Osasuna,Pamplona,El Sadar,7th,1935–36,2019–20
Rayo Vallecano,Madrid,Vallecas,11th,1977–78,2021–22
Real Betis,Seville,Benito Villamarín,6th,1932–33,2015–16
Real Madrid,Madrid,Santiago Bernabéu,2nd,1929,1929
Real Sociedad,San Sebastián,Anoeta,4th,1929,2010–11
Sevilla,Seville,Ramón Sánchez Pizjuán,12th,1934–35,2001–02
Valencia,Valencia,Mestalla,16th,1931–32,1987–88
Villarreal,Villarreal,Estadio de la Cerámica,5th,1998–99,2013–14
