Club,Location,Stadium,Capacity,2021–22
Arouca,Arouca,Estádio Municipal de Arouca,5000,15th
Benfica,Lisbon,Estádio da Luz,64642,3rd
Boavista,Porto,Estádio do Bessa,28263,12th
Braga,Braga,Estádio Municipal de Braga,30286,4th
Casa Pia,Lisbon,Estádio Nacional[4],37593,2nd (LP2)
Chaves,Chaves,Estádio Municipal Eng.º Manuel Branco Teixeira,8400,3rd (LP2)
Estoril,Estoril,Estádio António Coimbra da Mota,8015,9th
Famalicão,Vila Nova de Famalicão,Estádio Municipal 22 de Junho,5307,8th
Gil Vicente,Barcelos,Estádio Cidade de Barcelos,12504,5th
Marítimo,Funchal,Estádio do Marítimo,10932,10th
Paços de Ferreira,Paços de Ferreira,Estádio Capital do Móvel,9076,11th
Portimonense,Portimão,Estádio Municipal de Portimão,6204,13th
Porto,Porto,Estádio do Dragão,50033,1st
Rio Ave,Vila do Conde,Estádio dos Arcos,5300,1st (LP2)
Santa Clara,Ponta Delgada,Estádio de São Miguel,13277,7th
Sporting CP,Lisbon,Estádio José Alvalade,50095,2nd
Vitória de Guimarães,Guimarães,Estádio D. Afonso Henriques,30000,6th
Vizela,Vizela,Estádio do FC Vizela,6000,14th
